%time,field.x,field.y,field.z
1583762872348072973,-0.039658167756,-0.00991781864468,0.637906349583
1583762872451537943,-0.0397740582248,-0.0098795376115,0.63790616309
1583762872548567484,-0.0397357755155,-0.00976365281434,0.637903671161
1583762872647623917,-0.0397357755155,-0.00976365281434,0.637903671161
1583762872749042304,-0.0398516658205,-0.00972537212225,0.637903474252
1583762872847620120,-0.0399677592658,-0.00968959314616,0.637787380807
1583762872947704742,-0.0400060357587,-0.00980548189895,0.637789884813
1583762873048477155,-0.0399666954894,-0.0100755339769,0.637795089256
1583762873148354584,-0.0398508011008,-0.0101138094039,0.637795267943
1583762873247371568,-0.0397350783211,-0.0101545820168,0.637679545163
1583762873348678883,-0.0396966290187,-0.0100361959656,0.637792947257
1583762873447640008,-0.0397742467953,-0.00988203169513,0.637790270544
1583762873548072386,-0.0398901414182,-0.00984375674523,0.637790079896
1583762873648138765,-0.0399284183122,-0.00995964548669,0.637792582358
1583762873747776650,-0.0399666954894,-0.0100755339769,0.637795089256
1583762873847619337,-0.040120867522,-0.0101531484186,0.637797423485
1583762873947958545,-0.0400432512801,-0.0103073119675,0.637800116397
1583762874048231977,-0.040003913702,-0.0105773635565,0.637805316009
1583762874148112773,-0.0400421924202,-0.0106932510145,0.637807839106
1583762874247905025,-0.040003913702,-0.0105773635565,0.637805316009
1583762874348085341,-0.040003913702,-0.0105773635565,0.637805316009
1583762874448306469,-0.0400040661081,-0.0105798843511,0.637689419722
1583762874549224357,-0.0399977106215,-0.0106005041862,0.636647435555
1583762874647809119,-0.0400735302809,-0.0104566351614,0.636142875229
1583762874749471439,-0.040020948582,-0.0103922127734,0.633554530735
1583762874847738497,-0.039695322971,-0.0101982328544,0.621887631968
1583762874948360741,-0.0390925986535,-0.00928065665022,0.605339329889
1583762875047839096,-0.0390534008833,-0.00868141754871,0.582697238857
1583762875148136855,-0.039191565203,-0.00813965186785,0.561437926656
1583762875247820690,-0.0393788426292,-0.00772067550583,0.540130736572
1583762875349235253,-0.0393398040683,-0.00737817755602,0.518353427873
1583762875447866671,-0.0398203372542,-0.00753346919205,0.496799838163
1583762875548357557,-0.0401180393627,-0.00800371968166,0.474778893065
1583762875647795075,-0.0401224688049,-0.00828957239846,0.453224077094
1583762875749188784,-0.0402163709098,-0.00843759333588,0.431336094388
1583762875847451675,-0.0403818714275,-0.00831627850645,0.409853061757
1583762875949851341,-0.0403625579149,-0.00848772864893,0.388305679783
1583762876048164497,-0.0405670206267,-0.00986388272266,0.366590711636
1583762876147469331,-0.0406942004928,-0.00951167975776,0.345244639411
1583762876247984994,-0.0407464511155,-0.0094432435764,0.322942643698
1583762876348689663,-0.0411920652867,-0.0094245598487,0.301566180329
1583762876447593812,-0.0414145372018,-0.00958607010529,0.279485934304
1583762876548678402,-0.0414869178619,-0.0095188214064,0.257797036511
1583762876647870232,-0.041719614504,-0.00967159701828,0.236644764161
1583762876750171849,-0.0417073273502,-0.00986881950199,0.214899875841
1583762876847975942,-0.0419163754064,-0.00979211735875,0.193540910709
1583762876949311751,-0.0419986519202,-0.00961998343226,0.17171661735
1583762877048748169,-0.0420239332748,-0.010184613356,0.150171152488
1583762877149110907,-0.0419052087769,-0.0105122626549,0.128759522878
1583762877248382595,-0.0418817675648,-0.010478572853,0.106739647308
1583762877347467754,-0.0418694558006,-0.0104330655357,0.0853487862082
1583762877449655316,-0.0419776747953,-0.0102671288091,0.0637172684211
1583762877548581368,-0.0419803289723,-0.0104733389795,0.0421017617936
1583762877647743692,-0.0417401608117,-0.0103101534357,0.0208506552156
1583762877752369734,-0.0418696409998,-0.0103968669379,-0.000881210711272
1583762877847616706,-0.041641644418,-0.00999545512452,-0.0226249798254
