%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1583762864385748958,0.0,0.0,0.0,0.0,0.0,0.2
1583762864485900166,0.0,0.0,0.0,0.0,0.0,0.2
1583762864585702068,0.0,0.0,0.0,0.0,0.0,0.2
1583762864685918180,0.0,0.0,0.0,0.0,0.0,0.2
1583762864785748053,0.0,0.0,0.0,0.0,0.0,0.2
1583762864886361721,0.0,0.0,0.0,0.0,0.0,0.0
1583762864985751306,0.0,0.0,0.0,0.0,0.0,0.0
1583762865086020217,0.0,0.0,0.0,0.0,0.0,0.0
1583762865185734445,0.0,0.0,0.0,0.0,0.0,0.0
1583762865285937784,0.0,0.0,0.0,0.0,0.0,0.0
1583762865385678026,0.0,0.0,0.0,0.0,0.0,0.0
1583762865485957251,0.0,0.0,0.0,0.0,0.0,0.0
1583762865585734353,0.0,0.0,0.0,0.0,0.0,0.0
1583762865685902414,0.0,0.0,0.0,0.0,0.0,0.0
1583762865785723572,0.0,0.0,0.0,0.0,0.0,0.0
1583762865885864342,0.0,0.0,0.0,0.0,0.0,0.0
1583762865985746019,0.0,0.0,0.0,0.0,0.0,0.0
1583762866085969621,0.0,0.0,0.0,0.0,0.0,0.0
1583762866185782509,0.0,0.0,0.0,0.0,0.0,0.0
1583762866286087867,0.0,0.0,0.0,0.0,0.0,0.0
1583762866385853293,0.0,0.0,0.0,0.0,0.0,0.0
1583762866486214139,0.0,0.0,0.0,0.0,0.0,0.0
1583762866585744492,0.0,0.0,0.0,0.0,0.0,0.0
1583762866685903033,0.0,0.0,0.0,0.0,0.0,0.0
1583762866785823080,0.0,0.0,0.0,0.0,0.0,0.0
1583762866886184304,0.0,0.0,0.0,0.0,0.0,0.0
1583762866985775798,0.0,0.0,0.0,0.0,0.0,0.0
1583762867086271645,0.0,0.0,0.0,0.0,0.0,0.0
1583762867185726900,0.0,0.0,0.0,0.0,0.0,0.0
1583762867286094700,0.0,0.0,0.0,0.0,0.0,0.0
1583762867385735945,0.0,0.0,0.0,0.0,0.0,0.0
1583762867486040808,0.0,0.0,0.0,0.0,0.0,0.0
1583762867585746565,0.0,0.0,0.0,0.0,0.0,0.0
1583762867686106409,0.0,0.0,0.0,0.0,0.0,0.0
1583762867785835824,0.0,0.0,0.0,0.0,0.0,0.0
1583762867886039766,0.0,0.0,0.0,0.0,0.0,0.0
1583762867985814025,0.0,0.0,0.0,0.0,0.0,0.0
1583762868085995107,0.0,0.0,0.0,0.0,0.0,0.0
1583762868185814889,0.0,0.0,0.0,0.0,0.0,0.0
1583762868286062395,0.0,0.0,0.0,0.0,0.0,0.0
1583762868385756376,0.0,0.0,0.0,0.0,0.0,0.0
1583762868486212864,0.0,0.0,0.0,0.0,0.0,0.0
1583762868585771021,0.0,0.0,0.0,0.0,0.0,0.0
1583762868686178366,0.0,0.0,0.0,0.0,0.0,0.0
1583762868785707566,0.0,0.0,0.0,0.0,0.0,0.0
1583762868886196737,0.0,0.0,0.0,0.0,0.0,0.0
1583762868985806497,0.0,0.0,0.0,0.0,0.0,0.0
1583762869086250521,0.0,0.0,0.0,0.0,0.0,0.0
1583762869185734877,0.0,0.0,0.0,0.0,0.0,0.0
1583762869286250693,0.0,0.0,0.0,0.0,0.0,0.0
1583762869385703442,0.0,0.0,0.0,0.0,0.0,0.0
1583762869486119222,0.0,0.0,0.0,0.0,0.0,0.0
1583762869585755712,0.0,0.0,0.0,0.0,0.0,0.0
1583762869686263984,0.0,0.0,0.0,0.0,0.0,0.0
1583762869785738107,0.0,0.0,0.0,0.0,0.0,0.0
1583762869886008435,0.0,0.0,0.0,0.0,0.0,0.0
1583762869985738913,0.0,0.0,0.0,0.0,0.0,0.0
1583762870086034780,0.0,0.0,0.0,0.0,0.0,0.0
