%time,field.x,field.y,field.theta
1583763060244516755,0.380349679132,0.0452161691393,0.00260351879682
1583763060244529554,0.400601033784,0.0514907029608,0.00293488944663
1583763060244661763,0.422123270829,0.0565827454013,0.00279714737682
1583763060244906270,0.442883409806,0.0597214607815,0.00252484168936
1583763060244915426,0.464017199847,0.0617383225981,0.00266568028691
1583763060244931796,0.485640273649,0.06574984231,0.00171074761678
1583763060244944855,0.507256356455,0.0667466434585,0.00172816324791
1583763060245008603,0.527579642098,0.0700566602339,0.00115072828882
1583763060245103447,0.547279908864,0.0780627326039,0.000122304444573
1583763060245485994,0.568584769848,0.0776431551397,0.000987881756812
1583763060245556148,0.58849142068,0.0782393870307,0.000664964784358
1583763060245598006,0.609372053162,0.0802269195319,0.00108388681527
1583763060245712336,0.629405453585,0.0790351653013,0.000478251629034
1583763060246064866,0.649563134284,0.083819175754,-0.00044214358043
1583763060246108135,0.670414971439,0.0820363018056,0.000137940056167
1583763060246116623,0.691109135867,0.0814583880149,-0.00064294386356
1583763060246134355,0.711249941003,0.0849575309286,-0.00031313612753
1583763060246149156,0.731468668138,0.0798155744433,-0.00139758729109
1583763060246156621,0.751285695503,0.0844574483998,-0.00143572900324
1583763060246184194,0.771349151452,0.0860888713537,-0.00178818624489
1583763060246332163,0.791794551625,0.0855235564704,-0.00190949990243
1583763060247589071,0.811385291016,0.086225062628,-0.00227902991655
1583763060247604286,0.830567666656,0.0896609016805,-0.00416454847713
1583763060248313419,0.850498221727,0.0888186448696,-0.00392114131163
1583763060314339602,0.870809360896,0.0946607534696,-0.00418236525956
1583763060420319281,0.889885090652,0.0939448314309,-0.00593056038921
1583763060518243669,0.909514045286,0.0926079574635,-0.00541004959012
1583763060614832682,0.928780761575,0.0932325249493,-0.0062241014697
1583763060720855843,0.948377544403,0.091969200355,-0.00630840970345
1583763060821466881,0.966684698387,0.0981266614658,-0.00808612221337
1583763060921249394,0.986673330905,0.101442626238,-0.0081915635819
1583763061019930531,1.00709288005,0.102898235024,-0.00974757589027
1583763061124506925,1.02766850545,0.10442290916,-0.00890238444141
1583763061216940700,1.04703454372,0.0965187007849,-0.0111585778058
1583763061322231699,1.06791799078,0.104112095578,-0.0111600743507
1583763061417387930,1.08761782486,0.108389497857,-0.0121071625167
1583763061517894127,1.10825459188,0.106308667519,-0.0130133487053
1583763061619056120,1.12751785776,0.106462884771,-0.0132701546194
1583763061719156093,1.14813546432,0.104654699127,-0.0127091354356
1583763061817958974,1.16594899429,0.108515571335,-0.0148149659695
1583763061922060967,1.18226395478,0.111846542745,-0.0187254559335
1583763062022264553,1.19439242293,0.109484524655,-0.0176103518173
1583763062119198676,1.20434057984,0.108901484651,-0.0174854945013
1583763062221795711,1.21146509114,0.109815783285,-0.0185198720888
1583763062321083346,1.21531170299,0.104523625246,-0.0173764192775
1583763062427871096,1.21560212729,0.106127573072,-0.0166297924218
1583763062522312773,1.2159755791,0.107161086169,-0.0161540414456
1583763062621747527,1.21549039104,0.111608919985,-0.0158996260112
1583763062718012876,1.21541811405,0.111821055105,-0.016233807183
1583763062821284633,1.21504991218,0.112411428142,-0.0166498322814
1583763062920435615,1.21456615194,0.113415368,-0.0163485709184
1583763063026904608,1.21408490103,0.115842690843,-0.0163387837898
1583763063121515457,1.21446010818,0.113958542069,-0.0153460594879
1583763063221674793,1.21436316003,0.114020467501,-0.0160070234262
1583763063339376606,1.21435013667,0.111515949878,-0.0160090395888
1583763063419544530,1.2137892058,0.110189975004,-0.0158812388207
1583763063520971746,1.21405874794,0.111195798935,-0.0155234750634
1583763063620826035,1.21348814899,0.110162698307,-0.0157159460248
1583763063720137508,1.21391657586,0.110398967375,-0.0162248029628
1583763063818399336,1.21328683078,0.111719775214,-0.0165706225666
1583763063931526386,1.21348228551,0.112741384327,-0.0167218563068
1583763064024892839,1.21322229461,0.109602310211,-0.0159065334784
1583763064122039792,1.21288801345,0.108627700175,-0.0164744881586
1583763064228522188,1.21311903096,0.107731893174,-0.0157662158783
1583763064338573401,1.21225705385,0.11408056705,-0.0157574196277
1583763064422113312,1.21229372639,0.112731493575,-0.0155357932114
1583763064529355911,1.21246637763,0.110696875941,-0.0160080431859
1583763064623350996,1.2123294794,0.11064168719,-0.0158500533751
1583763064725473942,1.21247814206,0.112240741896,-0.0156107934517
1583763064841946668,1.21215482619,0.108926225748,-0.0166091337302
1583763064924736286,1.21223348325,0.112079863798,-0.0164291434652
1583763065025433748,1.21181655341,0.11448960967,-0.0163728913852
1583763065131843763,1.2120218497,0.114452820571,-0.0168388763265
1583763065222326720,1.21105423792,0.114227565774,-0.0156191471669
1583763065324888760,1.21153544986,0.110615674107,-0.0155461724766
1583763065430627524,1.21184098445,0.111227627648,-0.016370228328
1583763065525792433,1.21165196226,0.110544721408,-0.0156032070715
1583763065638276573,1.2115201467,0.110630983624,-0.0161448631247
1583763065739375082,1.2110706078,0.109511933967,-0.0155131851065
1583763065839127655,1.21110914233,0.110051217835,-0.015205414965
1583763065943286105,1.21064683753,0.108755227585,-0.0154174484513
1583763066039951352,1.21088084929,0.110308603737,-0.0164612470224
1583763066126327337,1.21027227559,0.109948762366,-0.0154108947345
1583763066244366792,1.20992922151,0.109882862922,-0.0150111593898
1583763066330544860,1.21028120134,0.112796603439,-0.0157056993673
1583763066438695893,1.21026066269,0.11003251425,-0.0153703856814
1583763066527201343,1.20991063403,0.111209125138,-0.0164383996952
1583763066624624462,1.21035051807,0.112238651555,-0.0157487314808
1583763066740030920,1.20987519568,0.113398493142,-0.015974735523
1583763066838272196,1.20915976081,0.113349719479,-0.0155213208382
1583763066940299543,1.20955940044,0.111101176978,-0.0157478462143
1583763067047345980,1.20905489564,0.111304254405,-0.0159055782297
1583763067128197905,1.20897140609,0.111848640337,-0.0161319771249
1583763067237223055,1.20923567806,0.109604839715,-0.0163466962111
1583763067325673190,1.20964801467,0.108222139835,-0.0152793961708
1583763067427375827,1.20945944616,0.110387752583,-0.0153272002715
1583763067543438662,1.20832797679,0.111521641825,-0.0145077813853
1583763067626367723,1.20837154769,0.110752769092,-0.0155691287447
1583763067739329929,1.20885786545,0.111296574766,-0.0156579130623
